no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized
115,Pillai Shri J. Sivashanmugam,Madras,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
119,Pitamber Das Shri,Uttar Pradesh,JS,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,JAN SANGH
121,Poddar Shri Rajendra Kumar,Bihar,IND.,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDEPENDENT
124,Poonacha Shri C.M.,Mysore,Congress,1964-04-03,1970-04-02,25/02/1967 Elected to Lok Sabha,1967-02-25,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
137,Prasad Dr. Badri Nath,Nominated,NOM.,1964-04-03,1970-04-02,18/01/1966 Death,1966-01-18,Death,NOMINATED
144,Prem Manohar Shri,Uttar Pradesh,JS,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,JAN SANGH
146,Prithwi Nath Shri,Uttar Pradesh,O,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,""
150,Punnaiah Shri Kota,Andhra Pradesh,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
150,Punnaiah Shri Kota,Andhra Pradesh,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
151,Purakayastha Shri Mahitosh,Assam,Congress,1966-04-03,1972-04-02,21/03/1972 Resignation,1972-03-21,Resignation,INDIAN NATIONAL CONGRESS
4,Qureshi Shri M. Shafi,Jammu & Kashmir,Congress,1965-05-01,1971-04-30,23/01/1967 Elected to Lok Sabha,1967-01-23,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
24,Rajagopalan Shri G.,Meghalaya,Congress,1964-04-03,1970-04-02,16/11/1964 Death,1964-11-16,Death,INDIAN NATIONAL CONGRESS
25,Rajagopalan Smt. G. Lalitha,Madras,Congress,1965-01-13,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
39,Rajnarain Shri,Uttar Pradesh,Socialist,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,""
44,Ram Chander Shri,Haryana,Congress,1966-11-29,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
47,Ram Sahai Shri,Madhya Pradesh,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
47,Ram Sahai Shri,Madhya Pradesh,Congress,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDIAN NATIONAL CONGRESS
48,Ram Singh Sardar,Uttar Pradesh,Swatantra,1964-04-03,1970-04-02,20/08/1969 Death,1969-08-20,Death,SWATANTRA PARTY
50,Ramachandran Shri G.,Nominated,NOM.,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,NOMINATED
57,Ramamurti Shri P.,Madras,CPI,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,COMMUNIST PARTY OF INDIA
61,Ramaswamy Shri K. S.,Madras,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
61,Ramaswamy Shri K. S.,Madras,Congress,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDIAN NATIONAL CONGRESS
64,Ramaswamy Shri V. V.,Madras,O,1967-03-20,1968-04-02,Retirement,1968-04-02,Retirement,""
65,Ramaul Shri Shiva Nand,Himachal Pradesh,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
68,Ramiah Dr. K.,Nominated,NOM.,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,NOMINATED
81,Rao Shri B. Ramakrishna,Andhra Pradesh,Congress,1962-06-21,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
84,Rao Shri D. Ramanuja,Andhra Pradesh,Congress,1960-06-16,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
90,Rao Dr. K. L. Narasimha,Andhra Pradesh,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
97,Rao Shri Narla Venkateswara,Andhra Pradesh,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
103,Rao Shri V. C. Kesava,Andhra Pradesh,Congress,1962-04-03,1968-04-02,14/03/1967 Resignation,1967-03-14,Resignation,INDIAN NATIONAL CONGRESS
116,Rathi Shri Kunj Bihari Lal,Uttar Pradesh,JS,1966-04-03,1972-04-02,13/07/1968 Death,1968-07-13,Death,JAN SANGH
127,Ray Dr. Nihar Ranjan,West Bengal,Congress,1962-04-03,1968-04-02,01/06/1965 Resignation,1965-06-01,Resignation,INDIAN NATIONAL CONGRESS
129,Ray Shri Ram Prasanna,West Bengal,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
130,Ray Shri Satyendra Prosad,West Bengal,Congress,1964-08-05,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
136,Reddi Dr. Begwada Gopala,Andhra Pradesh,Congress,1960-04-03,1966-04-02,27/02/1962 Elected to Lok Sabha,1962-02-27,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
139,Reddy Shri Adinarayana,Andhra Pradesh,CONG(I),1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS (I)
148,Reddy Shri J. C. Nagi,Andhra Pradesh,O,1960-04-03,1964-09-16,Retirement,1964-09-16,Retirement,""
148,Reddy Shri J. C. Nagi,Andhra Pradesh,O,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,""
149,Reddy Shri K. V. Raghunatha,Andhra Pradesh,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
149,Reddy Shri K. V. Raghunatha,Andhra Pradesh,Congress,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDIAN NATIONAL CONGRESS
150,Reddy Shri Kasu Vengala,Andhra Pradesh,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
152,Reddy Dr. M. Chenna,Andhra Pradesh,Congress,1967-03-27,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
152,Reddy Dr. M. Chenna,Andhra Pradesh,O,1968-04-03,1968-11-26,Retirement,1968-11-26,Retirement,""
153,Reddy Shri M. Govinda,Mysore,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
154,Reddy Shri M. Srinivasa,Andhra Pradesh,Congress,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDIAN NATIONAL CONGRESS
156,Reddy Shri Mulka Govinda,Karnataka,O,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,""
158,Reddy Shri N. Narotham,Andhra Pradesh,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
159,Reddy Shri N. Sri Rama,Mysore,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
159,Reddy Shri N. Sri Rama,Mysore,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
161,Reddy Dr. Neelam Sanjiva,Andhra Pradesh,Congress,1964-11-20,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
161,Reddy Dr. Neelam Sanjiva,Andhra Pradesh,Congress,1966-04-03,1972-04-02,24/02/1967 Elected to Lok Sabha,1967-02-24,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
173,Reddy Smt. Yashoda,Andhra Pradesh,Congress,1967-03-23,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
174,Reddy Shri Yella,Andhra Pradesh,CPI,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,COMMUNIST PARTY OF INDIA
178,Rizaq Ram Shri,Haryana,Congress,1968-08-02,1974-08-01,03/02/1970 Resignation,1970-02-03,Resignation,INDIAN NATIONAL CONGRESS
180,Rohatgi Dr. Jawaharlal,Uttar Pradesh,Congress,1962-04-19,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
185,Roy Shri Biren,West Bengal,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
185,Roy Shri Biren,West Bengal,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
188,Roy Shri Kalyan,West Bengal,CPI,1969-07-10,1975-07-09,Retirement,1975-07-09,Retirement,COMMUNIST PARTY OF INDIA
189,Roy Shri Monoranjan,West Bengal,CPI(M),1969-07-10,1975-07-09,Retirement,1975-07-09,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
197,Ruthnaswamy Shri M.,Madras,Swatantra,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,SWATANTRA PARTY
197,Ruthnaswamy Shri M.,Madras,Swatantra,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,SWATANTRA PARTY
4,Sadiq Ali Shri,Rajasthan,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
18,Sait Shri Ebrahim Sulaiman,Kerala,ML,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,MUSLIM LEAGUE
19,Sait Shri Salay Mohammed,Kerala,IND.,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDEPENDENT
27,Salig Ram Dr.,Punjab,Congress,1966-04-03,1972-04-02,19/03/1972 Resignation,1972-03-19,Resignation,INDIAN NATIONAL CONGRESS
37,Samuel Shri Mudumala Henry,Andhra Pradesh,Congress,1968-04-03,1974-04-02,16/02/1972 Death,1972-02-16,Death,INDIAN NATIONAL CONGRESS
43,Sangma Shri Emonsing M.,Assam,Congress,1967-05-04,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
46,Sanjivayya Shri D.,Andhra Pradesh,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
49,Santhanam Shri K.,Madras,Congress,1960-04-18,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
49,Santhanam Shri K.,Madras,Congress,1962-04-17,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
50,Santokh Singh Sardar,Delhi,Congress,1962-04-16,1968-04-15,Retirement,1968-04-15,Retirement,INDIAN NATIONAL CONGRESS
52,Sapru Shri Prakash Narayan,Uttar Pradesh,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
55,Saraogi Shri Pannalal,West Bengal,Congress,1962-04-03,1968-04-02,06/08/1963 Death,1963-08-06,Death,INDIAN NATIONAL CONGRESS
67,Sathe Smt. Tara Ramchandra,Maharashtra,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
68,Satpathy Smt. Nandini,Odisha,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
68,Satpathy Smt. Nandini,Odisha,Congress,1968-04-03,1974-04-02,29/11/1972 Resignation,1972-11-29,Resignation,INDIAN NATIONAL CONGRESS
70,Satyacharan Shri,Uttar Pradesh,Congress,1960-04-03,1966-04-02,13/08/1963 Death,1963-08-13,Death,INDIAN NATIONAL CONGRESS
71,Satyanarayana Shri Moturi,Nominated,NOM.,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,NOMINATED
73,Satyavrata Siddhantalankar Prof.,Nominated,NOM.,1964-11-25,1968-04-02,Retirement,1968-04-02,Retirement,NOMINATED
75,Savnekar Shri B.S.,Maharashtra,Congress,1960-06-28,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
75,Savnekar Shri B.S.,Maharashtra,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
83,Seeta Yudhvir Smt.,Andhra Pradesh,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
96,Sen Dr. Triguna,Tripura,Congress,1967-04-27,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
96,Sen Dr. Triguna,Tripura,Congress,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDIAN NATIONAL CONGRESS
97,Sen Gupta Shri Dwijendralal,West Bengal,IND.,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDEPENDENT
100,Setalvad Shri M.C.,Nominated,NOM.,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,NOMINATED
102,Sethi Shri P.C.,Madhya Pradesh,Congress,1961-02-02,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
102,Sethi Shri P.C.,Madhya Pradesh,Congress,1964-04-03,1970-04-02,20/02/1967 Elected to Lok Sabha,1967-02-20,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
108,Shah Shri Kodardas Kakudas,Bombay,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
108,Shah Shri Kodardas Kakudas,Bombay,Congress,1966-04-03,1972-04-02,22/05/1971 Resignation,1971-05-22,Resignation,INDIAN NATIONAL CONGRESS
109,Shah Shri Maneklal Chunilal,Gujarat,Congress,1962-04-03,1968-04-02,02/04/1968 Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
120,Shanti Devi Smt.,Uttar Pradesh,O,1961-04-27,1962-04-02,Retirement,1962-04-02,Retirement,""
125,Sharma Shri Anant Prasad,Bihar,Congress,1968-04-03,1974-04-02,11/03/1971 Elected to Lok Sabha,1971-03-11,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
128,Sharma Shri Bhagwat Dayal,Haryana,Congress,1968-08-02,1974-08-01,Retirement,1974-08-01,Retirement,INDIAN NATIONAL CONGRESS
134,Sharma Shri Laimayum Lalit Madhob,Manipur,Congress,1960-04-03,1966-04-02,02/11/1964 Death,1964-11-02,Death,INDIAN NATIONAL CONGRESS
155,Shejwalkar Shri Narayanrao Krishnarao,Madhya Pradesh,JS,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,JAN SANGH
157,Sherkhan Shri M.,Mysore,Congress,1961-03-09,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
157,Sherkhan Shri M.,Mysore,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
158,Shervani Shri Mustafa Rashid,Uttar Pradesh,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
158,Shervani Shri Mustafa Rashid,Uttar Pradesh,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
163,Shishir Kumar Shri,Bihar,PSP,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,PRAJA SOCIALIST PARTY
167,Shukla Shri Chakrapani,Madhya Pradesh,Congress,1966-02-08,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
170,Shukla Shri Mahavir Prasad,Uttar Pradesh,Congress,1962-04-19,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
170,Shukla Shri Mahavir Prasad,Uttar Pradesh,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
174,Shyamkumari Devi Smt.,Madhya Pradesh,Congress,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDIAN NATIONAL CONGRESS
175,Siddalingaya Shri T.,Mysore,Congress,1967-05-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
176,Siddhu Dr. M.M.S.,Uttar Pradesh,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
187,Singh Thakur Bhannu Pratap,Madhya Pradesh,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
207,Singh Shri J.K.P.N.,Bihar,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
209,Singh Smt. Jahanara Jaipal,Bihar,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
217,Singh Shri Kameshwara,Bihar,IND.,1960-04-03,1966-04-02,01/10/1962 Death,1962-10-01,Death,INDEPENDENT
224,Singh Shri Mohan,Punjab,INC,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
237,Singh Shri Sawai Man,Rajasthan,IND.,1962-04-03,1968-04-02,08/11/1965 Resignation,1965-11-08,Resignation,INDEPENDENT
239,Singh Shri Shankar Pratap,Madhya Pradesh,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
244,Singh Shri Sinam Krishnamohan,Manipur,Congress,1965-01-13,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
244,Singh Shri Sinam Krishnamohan,Manipur,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
247,Singh Shri Tribhuvan Narayan,Uttar Pradesh,CONG(O),1965-01-08,1970-04-02,Retirement,1970-04-02,Retirement,""
260,Sinha Shri Awadeshwar Prasad,Bihar,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
261,Sinha Shri Braja Kishore Prasad,Bihar,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
263,Sinha Shri Ganga Sharan,Bihar,O,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,""
263,Sinha Shri Ganga Sharan,Nominated,NOM.,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,NOMINATED
269,Sinha Shri Rajendra Pratap,Bihar,PSP,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,PRAJA SOCIALIST PARTY
269,Sinha Shri Rajendra Pratap,Bihar,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
270,Sinha Shri Rajeshwar Prasad Narain,Bihar,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
271,Sinha Shri Rama Bahadur,Bihar,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
273,Sinha Shri Rewati Kant,Bihar,SSP,1967-04-07,1970-04-02,Retirement,1970-04-02,Retirement,SAMYUKTA SOCIALIST PARTY
277,Sisodia Shri Sawai Singh,Madhya Pradesh,Congress,1969-04-28,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
282,Sivaprakasam Shri S.,Puducherry,DMK,1969-08-07,1975-08-06,Retirement,1975-08-06,Retirement,DRAVIDA MUNITRA KAZHAGAM
291,Somasundaram Shri G.P.,Madras,DMK,1966-04-03,1972-04-02,25/06/1971 Death,1971-06-25,Death,DRAVIDA MUNITRA KAZHAGAM
298,Srinivasan Shri Thomas,Madras,Congress,1960-04-03,1966-04-02,17/04/1963 Death,1963-04-17,Death,INDIAN NATIONAL CONGRESS
308,Sukhdev Prasad Shri,Uttar Pradesh,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
314,Sundaram Shri K.,Madras,Swatantra,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,SWATANTRA PARTY
317,Supakar Shri Shraddhakar,Odisha,Congress,1965-09-27,1971-09-26,26/02/1967 Elected to Lok Sabha,1967-02-26,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
318,Sur Shri Mriganka Mohan,West Bengal,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
318,Sur Shri Mriganka Mohan,West Bengal,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
319,Suraj Prasad Shri,Bihar,CPI,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,COMMUNIST PARTY OF INDIA
333,Swamy Shri N.R.M.,Madras,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
338,Syed Ahmad Shri,Madhya Pradesh,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
338,Syed Ahmad Shri,Madhya Pradesh,Congress,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDIAN NATIONAL CONGRESS
339,Syed Hussain Shri,Jammu & Kashmir,Congress,1968-04-16,1974-04-15,05/03/1974 Resignation,1974-03-05,Resignation,INDIAN NATIONAL CONGRESS
340,Syed Mahmud Dr.,Bihar,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
6,Talwar Dr.(Smt.) Mangla Devi,Rajasthan,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
10,Tankha Pandit Sham Sundar Narain,Uttar Pradesh,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
12,Tapase Shri Ganpatrao Devji,Maharashtra,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
13,Tara Chand Dr.,Nominated,NOM.,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,NOMINATED
15,Tariq Shri A.M.,Jammu & Kashmir,Congress,1962-04-16,1965-03-04,04/03/1965 Resignation,1965-03-04,Resignation,INDIAN NATIONAL CONGRESS
15,Tariq Shri A.M.,Jammu & Kashmir,Congress,1967-05-04,1968-04-15,15/04/1968 Retirement,1968-04-15,Retirement,INDIAN NATIONAL CONGRESS
33,Thanglura Shri A.,Assam,Congress,1962-06-20,1964-04-24,Retirement,1964-04-24,Retirement,INDIAN NATIONAL CONGRESS
33,Thanglura Shri A.,Assam,Congress,1964-04-03,1970-04-02,02/02/1967 Resignation,1967-02-02,Resignation,INDIAN NATIONAL CONGRESS
35,Thanulingam Shri P.,Madras,Congress,1964-07-09,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
38,Thazhava Shri Kesavan,Kerala,CPI(M),1967-04-15,1973-04-14,28/11/1969 Death,1969-11-28,Death,COMMUNIST PARTY OF INDIA (MARXIST)
39,Thengari Shri Dattopant Bapurao,Uttar Pradesh,JS,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,JAN SANGH
40,Thihmareddy Smt. Annapurna Devi,Mysore,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
46,Tilak Shri J.S.,Maharashtra,Congress,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,INDIAN NATIONAL CONGRESS
56,Tiwary Pandit Bhawani Prasad,Madhya Pradesh,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
57,Tohra Sardar Gurcharan Singh,Punjab,SAD,1969-03-28,1970-04-02,02/04/1970 Retirement,1970-04-02,Retirement,SHIROMANI AKALI DAL
63,Triloki Singh Shri,Uttar Pradesh,Congress,1967-04-27,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
66,Tripathi Shri Hira Vallabha,Uttar Pradesh,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
66,Tripathi Shri Hira Vallabha,Uttar Pradesh,Congress,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,INDIAN NATIONAL CONGRESS
3,Untoo Shri Gulam Nabi,Jammu & Kashmir,Congress,1966-11-11,1972-11-10,Retirement,1972-11-10,Retirement,INDIAN NATIONAL CONGRESS
4,Upadhyaya Shri Shiv Dutt,Madhya Pradesh,Congress,1967-03-31,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
6,Vaishampayen Shri S.K.,Maharashtra,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
7,Vajpayee Shri Atal Bihari,Uttar Pradesh,BJP,1962-04-03,1968-04-02,25/02/1967 Elected to Lok Sabha,1967-02-25,ElectedtoLokSabha,""
14,Varma Shri B. B.,Bihar,Congress,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
16,Varma Shri C.L.,Bilaspur and Himachal Pradesh,Congress,1964-04-03,1970-04-02,Retirement,1970-04-02,Retirement,INDIAN NATIONAL CONGRESS
18,Varma Shri Man Singh,Uttar Pradesh,JS,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,JAN SANGH
20,Varma Shri Niranjan,Madhya Pradesh,JS,1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,JAN SANGH
23,Vasan Shri S.S.,Madras,Congress,1964-04-03,1970-04-02,28/08/1969 Death,1969-08-28,Death,INDIAN NATIONAL CONGRESS
24,Vasavada Shri Shamprasad Rupshanker,Gujarat,CONG(O),1968-08-30,1970-04-02,Retirement,1970-04-02,Retirement,""
25,Vasisht Ms. Shanta,Delhi,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
25,Vasisht Ms. Shanta,Delhi,CONG(O),1966-04-03,1972-04-02,Retirement,1972-04-02,Retirement,""
33,Venkatappa Shri J,Mysore,PSP,1962-04-03,1968-04-02,Retirement,1968-04-02,Retirement,PRAJA SOCIALIST PARTY
34,Venkataraman Shri M.R.,Madras,CPI(M),1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,COMMUNIST PARTY OF INDIA (MARXIST)
42,Verma Shri Kesho Prasad,Madhya Pradesh,O,1960-04-03,1966-04-02,22/12/1960 Disqualification,1960-12-22,Disqualification,""
47,Vero Shri Melhupra,Nagaland,Congress,1964-03-18,1968-04-02,Retirement,1968-04-02,Retirement,INDIAN NATIONAL CONGRESS
47,Vero Shri Melhupra,Nagaland,Congress,1968-04-03,1974-04-02,02/03/1974 Resignation,1974-03-02,Resignation,INDIAN NATIONAL CONGRESS
48,Vijaivargiya Shri Gopikrishna,Madhya Bharat,Congress,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,INDIAN NATIONAL CONGRESS
51,Vijay Singh Shri,Rajasthan,Congress,1960-04-03,1966-04-02,13/05/1964 Death,1964-05-13,Death,INDIAN NATIONAL CONGRESS
56,Villalan Shri Thillai,Madras,DMK,1968-04-03,1974-04-02,Retirement,1974-04-02,Retirement,DRAVIDA MUNITRA KAZHAGAM
61,Vyas Shri Jai Narain,Rajasthan,Congress,1960-04-03,1966-04-02,14/03/1963 Death,1963-03-14,Death,INDIAN NATIONAL CONGRESS
64,Vyas Shri Ramesh Chandra,Rajasthan,Congress,1962-04-03,1968-04-02,22/02/1967 Elected to Lok Sabha,1967-02-22,ElectedtoLokSabha,INDIAN NATIONAL CONGRESS
1,Wadia Prof. Ardeshir Ruttonji,Nominated,NOM.,1960-04-03,1966-04-02,Retirement,1966-04-02,Retirement,NOMINATED
